,side,beta,std,pval,contrast,strain,experiment,significant,corrected pval
142,Beneficial,0.1827864165,0.0386946814,1.16618216771194E-05,17kS.R,R,T,1,6.09424229578497E-05
143,Deleterious,0.0739204239,0.0279091646,0.0009433434,17kS.R,R,T,1,0.0026810812
144,Beneficial,0.1439235787,0.0335755017,0.0001198696,17kL.R,R,T,1,0.0004516019
145,Deleterious,0.0508021882,0.0248678115,0.0111778991,17kL.R,R,T,1,0.0229217678
146,Beneficial,0.1879600668,0.0360982194,7.28305928010027E-06,40kS.R,R,T,1,4.71942241350497E-05
147,Deleterious,0.0685190733,0.0268063553,0.0021660819,40kS.R,R,T,1,0.0053985426
148,Beneficial,0.0841484578,0.0342395222,0.0110161584,40kL.R,R,T,1,0.0228814637
149,Deleterious,0.0242824656,0.0194434322,0.1711956121,40kL.R,R,T,0,0.2579744344
150,Beneficial,0.0748740008,0.0235951923,0.003700417,6kS.R,R,U,1,0.008418407
151,Deleterious,0.0340464884,0.0088746833,3.03363341963236E-05,6kS.R,R,U,1,0.0001260125
152,Beneficial,0.0809532784,0.022501736,0.0017529604,6kL.R,R,U,1,0.0045076124
153,Deleterious,0.0321118996,0.0092918961,0.000059654,6kL.R,R,U,1,0.000235706
154,Beneficial,0.0811822378,0.0252017225,0.0032369308,17kS.R,R,U,1,0.0075997507
155,Deleterious,0.0368724453,0.0091957082,1.7711713271245E-05,17kS.R,R,U,1,8.43911044100495E-05
156,Beneficial,0.0739402072,0.0212547132,0.0029989502,17kL.R,R,U,1,0.0071445577
157,Deleterious,0.0258781279,0.008781447,0.0008671273,17kL.R,R,U,1,0.0025084755
158,Beneficial,0.0856133424,0.0249448422,0.0019587688,40kS.R,R,U,1,0.0049581335
159,Deleterious,0.0358931739,0.0091225217,2.5256144066915E-05,40kS.R,R,U,1,0.0001136526
160,Beneficial,0.0558902264,0.0155015759,0.0101039853,40kL.R,R,U,1,0.0215374424
161,Deleterious,0.0248912596,0.0084685852,0.0002881974,40kL.R,R,U,1,0.0009337597
